year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Oscar_nominated_categories,Golden_Globes_won,Golden_Globes_won_categories,Golden_Globes_nominated,Golden_Globes_nominated_categories,BAFTA_won,BAFTA_won_categories,BAFTA_nominated,BAFTA_nominated_categories,Screen_Actors_Guild_won,Screen_Actors_Guild_won_categories,Screen_Actors_Guild_nominated,Screen_Actors_Guild_nominated_categories,Critics_Choice_won,Critics_Choice_won_categories,Critics_Choice_nominated,Critics_Choice_nominated_categories,Directors_Guild_won,Directors_Guild_won_categories,Directors_Guild_nominated,Directors_Guild_nominated_categories,Producers_Guild_won,Producers_Guild_won_categories,Producers_Guild_nominated,Producers_Guild_nominated_categories,Art_Directors_Guild_won,Art_Directors_Guild_won_categories,Art_Directors_Guild_nominated,Art_Directors_Guild_nominated_categories,Writers_Guild_won,Writers_Guild_won_categories,Writers_Guild_nominated,Writers_Guild_nominated_categories,Costume_Designers_Guild_won,Costume_Designers_Guild_won_categories,Costume_Designers_Guild_nominated,Costume_Designers_Guild_nominated_categories,Online_Film_Television_Association_won,Online_Film_Television_Association_won_categories,Online_Film_Television_Association_nominated,Online_Film_Television_Association_nominated_categories,Online_Film_Critics_Society_won,Online_Film_Critics_Society_won_categories,Online_Film_Critics_Society_nominated,Online_Film_Critics_Society_nominated_categories,People_Choice_won,People_Choice_won_categories,People_Choice_nominated,People_Choice_nominated_categories,London_Critics_Circle_Film_won,London_Critics_Circle_Film_won_categories,London_Critics_Circle_Film_nominated,London_Critics_Circle_Film_nominated_categories,American_Cinema_Editors_won,American_Cinema_Editors_won_categories,American_Cinema_Editors_nominated,American_Cinema_Editors_nominated_categories,Hollywood_Film_won,Hollywood_Film_won_categories,Hollywood_Film_nominated,Hollywood_Film_nominated_categories,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_won_categories,Austin_Film_Critics_Association_nominated,Austin_Film_Critics_Association_nominated_categories,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_won_categories,Denver_Film_Critics_Society_nominated,Denver_Film_Critics_Society_nominated_categories,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_won_categories,Boston_Society_of_Film_Critics_nominated,Boston_Society_of_Film_Critics_nominated_categories,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_won_categories,New_York_Film_Critics_Circle_nominated,New_York_Film_Critics_Circle_nominated_categories,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_won_categories,Los_Angeles_Film_Critics_Association_nominated,Los_Angeles_Film_Critics_Association_nominated_categories,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2001,Kate & Leopold,tt0035423,PG-13,118,Comedy|Fantasy|Romance,6.4000001,44,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,66660,47100000,2001-12-25,318,125,2363,1,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,"Best Music, Original Song",1,Best Original Song - Motion Picture,2,Best Original Song - Motion Picture|Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,,0,,0,,0,,0,,1,Best Song,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"Best Music, Original Song",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001,12,25,2
2000,Chicken Run,tt0120630,G,84,Animation|Adventure|Comedy,7.0,88,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",144475,106790000,2000-06-23,361,186,2859,5,11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,1,Best Motion Picture - Comedy or Musical,0,,2,|Best Achievement in Special Visual Effects,0,,0,,1,Best Animated Film,1,Best Animated Film,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Picture,2,Best Animated Picture|Best Voice-Over Performance,1,Top Ten Films of the Year,1,Top Ten Films of the Year,0,,0,,0,,2,British Film of the Year|British Producer of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Film,1,Best Animated Film,1,Best Animation,1,Best Animation,2000,6,23,5
2005,Fantastic Four,tt0120667,PG-13,106,Action|Adventure|Family,5.69999981,40,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",273203,154700000,2005-07-08,1008,278,1876,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,7,8,5
2002,Frida,tt0120679,R,123,Biography|Drama|Romance,7.4000001,61,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",63852,25780000,2002-11-22,272,126,2508,2,12,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,6,"Best Music, Original Score|Best Makeup|Best Performance by an Actress in a Leading Role|Best Art Direction-Set Decoration|Best Costume Design|Best Music, Original Song",1,Best Original Score - Motion Picture,2,Best Original Score - Motion Picture|Best Performance by an Actress in a Motion Picture - Drama,1,Best Make Up/Hair,4,Best Make Up/Hair|Best Performance by an Actress in a Leading Role|Best Performance by an Actor in a Supporting Role|Best Costume Design,0,,2,Outstanding Performance by a Female Actor in a Leading Role|Outstanding Performance by a Male Actor in a Supporting Role,0,,2,Best Supporting Actor|Best Actress,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Period/Fantasy Film,0,,1,Best Costume Design,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,11,22,5
2001,The Lord of the Rings: The Fellowship of the Ring,tt0120737,PG-13,178,Adventure|Drama|Fantasy,8.80000019,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,1286275,313840000,2001-12-19,5078,296,204,26,67,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,13,"Best Cinematography|Best Makeup|Best Music, Original Score|Best Effects, Visual Effects|Best Motion Picture of the Year|Best Performance by an Actor in a Supporting Role|Best Achievement in Directing|Best Adapted Screenplay|Best Art Direction-Set Decoration|Best Costume Design|Best Film Editing|Best Music, Original Song|Best Sound",0,,4,Best Motion Picture - Drama|Best Director - Motion Picture|Best Original Score - Motion Picture|Best Original Song - Motion Picture,5,|Best Film|Best Achievement in Special Visual Effects|Best Make Up/Hair|,14,|Best Film|Best Achievement in Special Visual Effects|Best Make Up/Hair|||Best Feature Film|Best Screenplay - Adapted|Best Performance by an Actor in a Leading Role|Best Cinematography|Best Production Design|Best Costume Design|Best Editing|Best Sound,1,Outstanding Performance by a Male Actor in a Supporting Role,2,Outstanding Performance by a Male Actor in a Supporting Role|Outstanding Performance by the Cast of a Theatrical Motion Picture,3,Favorite Film Franchise|Best Song|Best Composer,5,Favorite Film Franchise|Best Song|Best Composer|Best Director|Best Picture,0,,1,Outstanding Directorial Achievement in Motion Pictures,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,1,Period or Fantasy Film,0,,1,Best Screenplay Based on Material Previously Produced or Published,0,,0,,13,"Motion Picture|Best Picture|Best Ensemble|Best Casting|Best Director|Best Writing, Screenplay Based on Material from Another Medium|Best Music, Original Score|Best Production Design|Best Makeup and Hairstyling|Best Sound Mixing|Best Sound Effects Editing|Best Visual Effects|Best Cinematic Moment",22,"Motion Picture|Best Picture|Best Ensemble|Best Casting|Best Director|Best Writing, Screenplay Based on Material from Another Medium|Best Music, Original Score|Best Production Design|Best Makeup and Hairstyling|Best Sound Mixing|Best Sound Effects Editing|Best Visual Effects|Best Cinematic Moment|Best Supporting Actor|Best Breakthrough Performance - Male|Best Music, Original Song|Best Film Editing|Best Cinematography|Best Costume Design|Best Titles Sequence|Best Cinematic Moment|Best Official Film Website",1,Top Ten Films of the Year,8,Top Ten Films of the Year|Best Picture|Best Director|Best Supporting Actor|Best Ensemble|Best Adapted Screenplay|Best Cinematography|Best Original Score,2,Favorite Motion Picture|Favorite Dramatic Motion Picture,3,Favorite Move Fan Following|Favorite Motion Picture|Favorite Dramatic Motion Picture,0,,0,,0,,1,Best Edited Feature Film - Dramatic,0,,0,,0,,1,Best Movie of the Decade,0,,0,,0,,1,Best Director,0,,0,,1,Best Music,2,Best Music|Best Production Design,2001,12,19,3
2000,Mission: Impossible II,tt0120755,PG-13,123,Action|Adventure|Thriller,6.0999999,59,"A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",249988,215400000,2000-05-24,1431,234,2153,1,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,1,Best Score,1,Best Score,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Titles Sequence,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,5,24,3
2002,Resident Evil,tt0120804,R,100,Action|Horror|Sci-Fi,6.69999981,33,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",204545,39530000,2002-03-15,1145,225,355,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,3,15,5
2000,X-Men,tt0120903,PG-13,104,Action|Adventure|Sci-Fi,7.4000001,64,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,468351,157300000,2000-07-14,1406,289,655,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Contemporary Film,0,,2,Best Makeup and Hairstyling|Best Visual Effects,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,7,14,5
2000,The Emperor's New Groove,tt0120917,G,78,Animation|Adventure|Comedy,7.30000019,70,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",133781,89300000,2000-12-15,298,141,1332,2,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,"Best Music, Original Song",0,,1,Best Original Song - Motion Picture,0,,0,,0,,0,,1,Best Song,2,Best Song|Best Animated Feature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Voice-Over Performance,4,"Best Voice-Over Performance|Best Animated Picture|Best Voice-Over Performance|Best Music, Original Song",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,12,15,5
2005,Corpse Bride,tt0121164,PG,77,Animation|Drama|Family,7.4000001,83,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",197604,53340000,2005-09-23,477,266,2022,0,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Animated Feature Film of the Year,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Feature,0,,0,,0,,1,Outstanding Producer of Animated Theatrical Motion Pictures,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Picture,0,,1,Best Animated Feature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Film,0,,0,,2005,9,23,5
